"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"105",0.1232323498,0.1291715652,0.114540264,0.0682358071,0.1453643441,0.1910640597,0.1267075539,0.0741946176,0.0765834376,0.1614364684,0.1232323498,0.1291715652,0.114540264,0.0682358071,2018-04-15
"106",0.1254563481,0.1292104423,0.1156452224,0.0682560951,0.1453752071,0.1910462976,0.1266216785,0.0741026178,0.0765506402,0.1614391357,0.1254563481,0.1292104423,0.1156452224,0.0682560951,2018-04-16
"107",0.1146131381,0.1272239983,0.1162189096,0.0682695284,0.145387277,0.1910416484,0.1265736669,0.0740123764,0.0765182376,0.1614414752,0.1146131381,0.1272239983,0.1162189096,0.0682695284,2018-04-17
"108",0.1031855047,0.1227667481,0.1154900119,0.0682762414,0.1454086751,0.1910563111,0.1265577376,0.0739264265,0.0764865056,0.1614466459,0.1031855047,0.1227667481,0.1154900119,0.0682762414,2018-04-18
"109",0.10038656,0.1201415062,0.113981843,0.0682610124,0.1453984827,0.1910536885,0.1265508682,0.0738425627,0.0764551163,0.1614513546,0.10038656,0.1201415062,0.113981843,0.0682610124,2018-04-19
"110",0.0996248499,0.119060427,0.112784639,0.0682473928,0.1453895718,0.1910524964,0.1265527159,0.0737642944,0.076424554,0.1614607126,0.0996248499,0.119060427,0.112784639,0.0682473928,2018-04-20
"111",0.0925463289,0.116535604,0.1116166413,0.068219021,0.1453425288,0.1910178214,0.1265384853,0.0736864135,0.0763941854,0.1614676565,0.0925463289,0.116535604,0.1116166413,0.068219021,2018-04-21
"112",0.1012944728,0.1160851344,0.1103938073,0.0681740791,0.1452544481,0.1909452081,0.1264984012,0.0736083016,0.0763639584,0.1614713967,0.1012944728,0.1160851344,0.1103938073,0.0681740791,2018-04-22
"113",0.0907912403,0.114459902,0.1096328869,0.0681274235,0.1451478302,0.1908496916,0.1264353693,0.0735311881,0.0763340369,0.1614744365,0.0907912403,0.114459902,0.1096328869,0.0681274235,2018-04-23
"114",0.0850677788,0.1120963097,0.1086672992,0.0680774078,0.1450315863,0.1907412261,0.1263543814,0.073455587,0.0763044953,0.1614776403,0.0850677788,0.1120963097,0.1086672992,0.0680774078,2018-04-24
"115",0.0795997679,0.1097128093,0.1075714454,0.0680193827,0.1448991597,0.1906190515,0.12626037,0.073381342,0.0762753636,0.1614812464,0.0795997679,0.1097128093,0.1075714454,0.0680193827,2018-04-25
"116",0.0783020183,0.1081250384,0.1064820364,0.0679502934,0.1447376907,0.1904689223,0.1261455566,0.0733070374,0.0762464851,0.1614834964,0.0783020183,0.1081250384,0.1064820364,0.0679502934,2018-04-26
"117",0.0751460046,0.1065091491,0.1055154949,0.0678747222,0.1445551515,0.1902971566,0.1260115802,0.073233068,0.0762179121,0.1614852399,0.0751460046,0.1065091491,0.1055154949,0.0678747222,2018-04-27
"118",0.0713676438,0.1049190685,0.1046364978,0.0677964836,0.1443594843,0.1901087761,0.1258594096,0.0731597245,0.0761896819,0.1614872813,0.0713676438,0.1049190685,0.1046364978,0.0677964836,2018-04-28
"119",0.0980114192,0.1066143513,0.1039683446,0.0677078813,0.1441344768,0.1898934245,0.1256855428,0.0730849653,0.076161623,0.1614868194,0.0980114192,0.1066143513,0.1039683446,0.0677078813,2018-04-29
"120",0.0866149217,0.1079712287,0.1040040702,0.0676304847,0.1439134777,0.1896722168,0.1254974157,0.0730105639,0.0761339143,0.161486879,0.0866149217,0.1079712287,0.1040040702,0.0676304847,2018-04-30
"121",0.0809648931,0.1071057171,0.103985548,0.0675562993,0.1436955929,0.1894491911,0.1252980381,0.0729353055,0.076106444,0.1614856869,0.0809648931,0.1071057171,0.103985548,0.0675562993,2018-05-01
"122",0.0786260217,0.10613776,0.1038086936,0.0674845651,0.1434875727,0.1892348379,0.1250993162,0.0728605911,0.0760793686,0.1614855975,0.0786260217,0.10613776,0.1038086936,0.0674845651,2018-05-02
"123",0.075009115,0.1050622463,0.103529878,0.0674126819,0.1432840526,0.1890269369,0.1249055043,0.0727866143,0.0760527104,0.1614866108,0.075009115,0.1050622463,0.103529878,0.0674126819,2018-05-03
"124",0.069735527,0.1036071852,0.1031432822,0.0673407316,0.1430834234,0.1888226271,0.1247159392,0.0727135465,0.0760264695,0.1614888757,0.069735527,0.1036071852,0.1031432822,0.0673407316,2018-05-04
"125",0.0655292273,0.1019768119,0.1025805101,0.0672530308,0.1428493261,0.1885917783,0.1245141402,0.0726377442,0.0760001764,0.1614874005,0.0655292273,0.1019768119,0.1025805101,0.0672530308,2018-05-05
